Pays,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Production,Nombre Habitant,Evolution_pop %,Balance commerciale
Suisse,55.0,15.72,3.07,6.49,133.0,4.0,51.0,133.0,91.0,8455804,1.92,-47.0
Suriname,112.0,31.06,7.97,9.27,25.0,5.0,18.0,18.0,10.0,570496,2.03,-13.0
Suède,61.0,16.6,3.39,7.09,187.0,23.0,84.0,164.0,157.0,9904896,1.43,-61.0
Sénégal,16.0,4.76,1.0,1.61,77.0,0.0,0.0,73.0,77.0,15419355,5.77,0.0
Tadjikistan,18.0,4.45,1.31,1.45,40.0,0.0,38.0,39.0,2.0,8880268,5.04,-38.0
Tchad,2.0,0.45,0.1,0.15,7.0,0.0,1.0,7.0,6.0,15016753,6.42,-1.0
Tchéquie,82.0,21.96,5.49,7.5,249.0,27.0,116.0,234.0,163.0,10641034,0.37,-89.0
Thaïlande,47.0,12.95,3.19,4.35,881.0,796.0,2.0,896.0,1676.0,69209810,0.72,794.0
Timor-Leste,14.0,4.24,0.9,1.46,5.0,0.0,11.0,5.0,1.0,1243258,3.93,-11.0
Togo,24.0,7.06,1.49,2.39,54.0,0.0,16.0,54.0,40.0,7698474,5.13,-16.0
Trinité-et-Tobago,189.0,54.54,13.05,16.63,76.0,0.0,23.0,75.0,61.0,1384059,1.0,-23.0
Tunisie,57.0,17.03,3.39,6.28,195.0,4.0,0.0,195.0,213.0,11433443,2.27,4.0
Turkménistan,15.0,4.52,0.95,1.53,27.0,0.0,9.0,26.0,20.0,5757667,3.46,-9.0
Turquie,71.0,20.64,4.5,6.99,1674.0,429.0,3.0,1674.0,2192.0,81116450,3.29,426.0
Ukraine,78.0,22.62,5.11,7.58,1009.0,273.0,121.0,1006.0,1211.0,44487709,-0.97,152.0
Uruguay,33.0,9.12,2.23,2.97,33.0,3.0,3.0,31.0,33.0,3436641,0.72,0.0
Vanuatu,40.0,11.66,2.48,4.05,3.0,0.0,4.0,3.0,1.0,285510,5.3,-4.0
Venezuela (République bolivarienne du),71.0,20.28,4.39,7.23,626.0,0.0,25.0,596.0,600.0,29402484,-2.26,-25.0
Viet Nam,48.0,12.33,3.4,4.01,1206.0,1.0,291.0,1166.0,918.0,94600648,2.08,-290.0
Yémen,30.0,8.53,1.85,3.04,246.0,0.0,78.0,237.0,168.0,27834819,5.05,-78.0
Zambie,11.0,3.42,0.72,1.15,60.0,1.0,12.0,58.0,49.0,16853599,6.14,-11.0
Zimbabwe,16.0,4.68,0.99,1.59,76.0,0.0,6.0,67.0,69.0,14236595,3.05,-6.0
Égypte,50.0,12.96,3.42,4.51,1250.0,1.0,110.0,1250.0,1118.0,96442591,4.33,-109.0
Émirats arabes unis,147.0,43.47,9.25,14.8,412.0,94.0,433.0,412.0,48.0,9487203,2.42,-339.0
Équateur,83.0,19.31,6.35,6.15,341.0,0.0,0.0,324.0,340.0,16785361,3.54,0.0
États-Unis d'Amérique,219.0,55.68,14.83,19.93,18266.0,3692.0,123.0,18100.0,21914.0,325084756,1.31,3569.0
Éthiopie,0.0,0.13,0.03,0.04,14.0,0.0,1.0,14.0,14.0,106399924,5.52,-1.0
Îles Salomon,18.0,4.45,1.31,1.51,3.0,0.0,6.0,3.0,0.0,636039,5.46,-6.0
